occ_code,decile,share,source_tag,mu,sigma,n_points,fit_level
49-3091,1,0.03800087389488149,partial:OEWS_May2021_lognormal;D,10.42852050499821,0.2306374252304737,5,own
49-3091,2,0.21282150015403978,partial:OEWS_May2021_lognormal;D,10.42852050499821,0.2306374252304737,5,own
49-3091,3,0.2981447990071414,partial:OEWS_May2021_lognormal;D,10.42852050499821,0.2306374252304737,5,own
49-3091,4,0.23984695264239353,partial:OEWS_May2021_lognormal;D,10.42852050499821,0.2306374252304737,5,own
49-3091,5,0.13585559934003189,partial:OEWS_May2021_lognormal;D,10.42852050499821,0.2306374252304737,5,own
49-3091,6,0.05620180108595929,partial:OEWS_May2021_lognormal;D,10.42852050499821,0.2306374252304737,5,own
49-3091,7,0.01616098275876965,partial:OEWS_May2021_lognormal;D,10.42852050499821,0.2306374252304737,5,own
49-3091,8,0.0027721568254164275,partial:OEWS_May2021_lognormal;D,10.42852050499821,0.2306374252304737,5,own
49-3091,9,0.00019366473615467505,partial:OEWS_May2021_lognormal;D,10.42852050499821,0.2306374252304737,5,own
49-3091,10,1.669555211858409e-6,partial:OEWS_May2021_lognormal;D,10.42852050499821,0.2306374252304737,5,own
49-3092,1,0.01102827628681552,partial:OEWS_May2021_lognormal;D,10.657949863559438,0.2789673554632433,5,own
49-3092,2,0.07308522442047866,partial:OEWS_May2021_lognormal;D,10.657949863559438,0.2789673554632433,5,own
49-3092,3,0.1514367417019558,partial:OEWS_May2021_lognormal;D,10.657949863559438,0.2789673554632433,5,own
49-3092,4,0.20124172665307755,partial:OEWS_May2021_lognormal;D,10.657949863559438,0.2789673554632433,5,own
49-3092,5,0.20594685341991392,partial:OEWS_May2021_lognormal;D,10.657949863559438,0.2789673554632433,5,own
49-3092,6,0.17071242658082375,partial:OEWS_May2021_lognormal;D,10.657949863559438,0.2789673554632433,5,own
49-3092,7,0.11333521550084635,partial:OEWS_May2021_lognormal;D,10.657949863559438,0.2789673554632433,5,own
49-3092,8,0.055762884185558304,partial:OEWS_May2021_lognormal;D,10.657949863559438,0.2789673554632433,5,own
49-3092,9,0.016190824005004933,partial:OEWS_May2021_lognormal;D,10.657949863559438,0.2789673554632433,5,own
49-3092,10,0.0012598272455252024,partial:OEWS_May2021_lognormal;D,10.657949863559438,0.2789673554632433,5,own
49-3093,1,0.08093437049520374,partial:OEWS_May2021_lognormal;D,10.363186869425089,0.24585311534616275,5,own
49-3093,2,0.276778910505215,partial:OEWS_May2021_lognormal;D,10.363186869425089,0.24585311534616275,5,own
49-3093,3,0.29075160196952576,partial:OEWS_May2021_lognormal;D,10.363186869425089,0.24585311534616275,5,own
49-3093,4,0.19729145338338694,partial:OEWS_May2021_lognormal;D,10.363186869425089,0.24585311534616275,5,own
49-3093,5,0.1009796509081814,partial:OEWS_May2021_lognormal;D,10.363186869425089,0.24585311534616275,5,own
49-3093,6,0.03969731115715325,partial:OEWS_May2021_lognormal;D,10.363186869425089,0.24585311534616275,5,own
49-3093,7,0.011358752209931211,partial:OEWS_May2021_lognormal;D,10.363186869425089,0.24585311534616275,5,own
49-3093,8,0.002044234495333308,partial:OEWS_May2021_lognormal;D,10.363186869425089,0.24585311534616275,5,own
49-3093,9,0.00016185815875913168,partial:OEWS_May2021_lognormal;D,10.363186869425089,0.24585311534616275,5,own
49-3093,10,1.8567173102335133e-6,partial:OEWS_May2021_lognormal;D,10.363186869425089,0.24585311534616275,5,own
49-9011,1,0.008035398216306722,partial:OEWS_May2021_lognormal;D,10.680895089611607,0.2748348716998463,5,own
49-9011,2,0.06111754829731014,partial:OEWS_May2021_lognormal;D,10.680895089611607,0.2748348716998463,5,own
49-9011,3,0.1383793659090906,partial:OEWS_May2021_lognormal;D,10.680895089611607,0.2748348716998463,5,own
49-9011,4,0.19570074000062776,partial:OEWS_May2021_lognormal;D,10.680895089611607,0.2748348716998463,5,own
49-9011,5,0.21001779870545695,partial:OEWS_May2021_lognormal;D,10.680895089611607,0.2748348716998463,5,own
49-9011,6,0.1808096617101027,partial:OEWS_May2021_lognormal;D,10.680895089611607,0.2748348716998463,5,own
49-9011,7,0.1237687559875218,partial:OEWS_May2021_lognormal;D,10.680895089611607,0.2748348716998463,5,own
49-9011,8,0.06236286145248404,partial:OEWS_May2021_lognormal;D,10.680895089611607,0.2748348716998463,5,own
49-9011,9,0.01838024969328944,partial:OEWS_May2021_lognormal;D,10.680895089611607,0.2748348716998463,5,own
49-9011,10,0.0014276200278098283,partial:OEWS_May2021_lognormal;D,10.680895089611607,0.2748348716998463,5,own
49-9012,1,0.003979055530032305,partial:OEWS_May2021_lognormal;D,11.033030051623827,0.3819918565014241,5,own
49-9012,2,0.019415794208053394,partial:OEWS_May2021_lognormal;D,11.033030051623827,0.3819918565014241,5,own
49-9012,3,0.04235382509371771,partial:OEWS_May2021_lognormal;D,11.033030051623827,0.3819918565014241,5,own
49-9012,4,0.07033127244151016,partial:OEWS_May2021_lognormal;D,11.033030051623827,0.3819918565014241,5,own
49-9012,5,0.10129514385457572,partial:OEWS_May2021_lognormal;D,11.033030051623827,0.3819918565014241,5,own
49-9012,6,0.13278057766139334,partial:OEWS_May2021_lognormal;D,11.033030051623827,0.3819918565014241,5,own
49-9012,7,0.16120084467239926,partial:OEWS_May2021_lognormal;D,11.033030051623827,0.3819918565014241,5,own
49-9012,8,0.18044511361841475,partial:OEWS_May2021_lognormal;D,11.033030051623827,0.3819918565014241,5,own
