iso3,region_id,name,population,gdp_bn_usd,source_tag,continent,subregion,pop_year,gdp_year
PAK,RoA,Pakistan,216565318,278.221,real:natural_earth_admin0_50m,Asia,Southern Asia,2019,2019
PAN,"",Panama,4246439,66.8,real:natural_earth_admin0_50m,North America,Central America,2019,2019
PCN,"",Pitcairn Is.,54,0.0,real:natural_earth_admin0_50m,Oceania,Polynesia,2016,2016
PER,"",Peru,32510453,226.848,real:natural_earth_admin0_50m,South America,South America,2019,2019
PHL,RoA,Philippines,108116615,376.795,real:natural_earth_admin0_50m,Asia,South-Eastern Asia,2019,2019
PLW,"",Palau,18008,0.268,real:natural_earth_admin0_50m,Oceania,Micronesia,2019,2019
PNG,"",Papua New Guinea,8776109,24.829,real:natural_earth_admin0_50m,Oceania,Melanesia,2019,2019
POL,EU,Poland,37970874,595.858,real:natural_earth_admin0_50m,Europe,Eastern Europe,2019,2019
PRI,"",Puerto Rico,3193694,104.988,real:natural_earth_admin0_50m,North America,Caribbean,2019,2019
PRK,RoA,North Korea,25666161,40.0,real:natural_earth_admin0_50m,Asia,Eastern Asia,2019,2016
PRT,EU,Portugal,10269417,238.785,real:natural_earth_admin0_50m,Europe,Southern Europe,2019,2019
PRY,"",Paraguay,7044636,38.145,real:natural_earth_admin0_50m,South America,South America,2019,2019
PSX,"",Palestine,4685306,16.276,real:natural_earth_admin0_50m,Asia,Western Asia,2019,2018
PYF,"",Fr. Polynesia,279287,5.49,real:natural_earth_admin0_50m,Oceania,Polynesia,2019,2016
QAT,"",Qatar,2832067,175.837,real:natural_earth_admin0_50m,Asia,Western Asia,2019,2019
ROU,EU,Romania,19356544,250.077,real:natural_earth_admin0_50m,Europe,Eastern Europe,2019,2019
RUS,"",Russia,144373535,1699.876,real:natural_earth_admin0_50m,Europe,Eastern Europe,2019,2019
RWA,"",Rwanda,12626950,10.354,real:natural_earth_admin0_50m,Africa,Eastern Africa,2019,2019
SAH,"",W. Sahara,603253,0.907,real:natural_earth_admin0_50m,Africa,Northern Africa,2017,2007
SAU,"",Saudi Arabia,34268528,792.966,real:natural_earth_admin0_50m,Asia,Western Asia,2019,2019
SDN,"",Sudan,42813238,30.513,real:natural_earth_admin0_50m,Africa,Northern Africa,2019,2019
SDS,"",S. Sudan,11062113,11.998,real:natural_earth_admin0_50m,Africa,Eastern Africa,2019,2015
SEN,"",Senegal,16296364,23.578,real:natural_earth_admin0_50m,Africa,Western Africa,2019,2019
SGP,SG,Singapore,5703569,372.062,real:natural_earth_admin0_50m,Asia,South-Eastern Asia,2019,2019
SGS,"",S. Geo. and the Is.,30,0.0,real:natural_earth_admin0_50m,Seven seas (open ocean),Seven seas (open ocean),2017,2016
SHN,"",Saint Helena,4534,0.031,real:natural_earth_admin0_50m,Seven seas (open ocean),Western Africa,2016,2010
SLB,"",Solomon Is.,669823,1.589,real:natural_earth_admin0_50m,Oceania,Melanesia,2019,2019
SLE,"",Sierra Leone,7813215,4.121,real:natural_earth_admin0_50m,Africa,Western Africa,2019,2019
SLV,"",El Salvador,6453553,27.022,real:natural_earth_admin0_50m,North America,Central America,2019,2019
SMR,"",San Marino,33860,1.655,real:natural_earth_admin0_50m,Europe,Southern Europe,2019,2018
SOL,"",Somaliland,5096159,17.836,real:natural_earth_admin0_50m,Africa,Eastern Africa,2014,2013
SOM,"",Somalia,10192317,4.719,real:natural_earth_admin0_50m,Africa,Eastern Africa,2019,2016
SPM,"",St. Pierre and Miquelon,5997,0.215,real:natural_earth_admin0_50m,North America,Northern America,2017,2016
SRB,"",Serbia,6944975,51.475,real:natural_earth_admin0_50m,Europe,Southern Europe,2019,2019
STP,"",São Tomé and Principe,215056,0.418,real:natural_earth_admin0_50m,Africa,Middle Africa,2019,2019
SUR,"",Suriname,581363,3.697,real:natural_earth_admin0_50m,South America,South America,2019,2019
SVK,EU,Slovakia,5454073,105.079,real:natural_earth_admin0_50m,Europe,Eastern Europe,2019,2019
SVN,EU,Slovenia,2087946,54.174,real:natural_earth_admin0_50m,Europe,Southern Europe,2019,2019
SWE,EU,Sweden,10285453,530.883,real:natural_earth_admin0_50m,Europe,Northern Europe,2019,2019
SWZ,"",eSwatini,1148130,4.471,real:natural_earth_admin0_50m,Africa,Southern Africa,2019,2019
SXM,"",Sint Maarten,40733,1.185,real:natural_earth_admin0_50m,North America,Caribbean,2019,2018
SYC,"",Seychelles,97625,1.703,real:natural_earth_admin0_50m,Seven seas (open ocean),Eastern Africa,2019,2019
SYR,"",Syria,17070135,98.83,real:natural_earth_admin0_50m,Asia,Western Asia,2019,2015
TCA,"",Turks and Caicos Is.,38191,1.197,real:natural_earth_admin0_50m,North America,Caribbean,2019,2019
TCD,"",Chad,15946876,11.314,real:natural_earth_admin0_50m,Africa,Middle Africa,2019,2019
TGO,"",Togo,8082366,5.49,real:natural_earth_admin0_50m,Africa,Western Africa,2019,2019
THA,RoA,Thailand,69625582,543.548,real:natural_earth_admin0_50m,Asia,South-Eastern Asia,2019,2019
TJK,"",Tajikistan,9321018,8.116,real:natural_earth_admin0_50m,Asia,Central Asia,2019,2019
TKM,"",Turkmenistan,5942089,40.761,real:natural_earth_admin0_50m,Asia,Central Asia,2019,2018
