occ_code,fips,emp,source_tag
11-2011,35,97,real:OEWS_May2025_state; renormalized to national
11-2011,36,4299,real:OEWS_May2025_state; renormalized to national
11-2011,39,291,real:OEWS_May2025_state; renormalized to national
11-2011,40,109,real:OEWS_May2025_state; renormalized to national
11-2011,41,521,real:OEWS_May2025_state; renormalized to national
11-2011,42,1865,real:OEWS_May2025_state; renormalized to national
11-2011,44,73,real:OEWS_May2025_state; renormalized to national
11-2011,48,4444,real:OEWS_May2025_state; renormalized to national
11-2011,49,291,real:OEWS_May2025_state; renormalized to national
11-2011,51,218,real:OEWS_May2025_state; renormalized to national
11-2011,53,642,real:OEWS_May2025_state; renormalized to national
11-2011,55,133,real:OEWS_May2025_state; renormalized to national
11-2021,01,1557,real:OEWS_May2025_state; renormalized to national
11-2021,02,243,real:OEWS_May2025_state; renormalized to national
11-2021,04,4924,real:OEWS_May2025_state; renormalized to national
11-2021,05,1881,real:OEWS_May2025_state; renormalized to national
11-2021,06,55270,real:OEWS_May2025_state; renormalized to national
11-2021,08,6077,real:OEWS_May2025_state; renormalized to national
11-2021,09,5865,real:OEWS_May2025_state; renormalized to national
11-2021,10,1072,real:OEWS_May2025_state; renormalized to national
11-2021,11,3509,real:OEWS_May2025_state; renormalized to national
11-2021,12,25097,real:OEWS_May2025_state; renormalized to national
11-2021,13,8605,real:OEWS_May2025_state; renormalized to national
11-2021,15,576,real:OEWS_May2025_state; renormalized to national
11-2021,16,1335,real:OEWS_May2025_state; renormalized to national
11-2021,17,21376,real:OEWS_May2025_state; renormalized to national
11-2021,18,3387,real:OEWS_May2025_state; renormalized to national
11-2021,19,2235,real:OEWS_May2025_state; renormalized to national
11-2021,20,1588,real:OEWS_May2025_state; renormalized to national
11-2021,21,1952,real:OEWS_May2025_state; renormalized to national
11-2021,22,950,real:OEWS_May2025_state; renormalized to national
11-2021,23,1335,real:OEWS_May2025_state; renormalized to national
11-2021,24,6583,real:OEWS_May2025_state; renormalized to national
11-2021,25,14429,real:OEWS_May2025_state; renormalized to national
11-2021,26,6694,real:OEWS_May2025_state; renormalized to national
11-2021,27,8595,real:OEWS_May2025_state; renormalized to national
11-2021,28,779,real:OEWS_May2025_state; renormalized to national
11-2021,29,6623,real:OEWS_May2025_state; renormalized to national
11-2021,31,1931,real:OEWS_May2025_state; renormalized to national
11-2021,32,3468,real:OEWS_May2025_state; renormalized to national
11-2021,33,1476,real:OEWS_May2025_state; renormalized to national
11-2021,34,13661,real:OEWS_May2025_state; renormalized to national
11-2021,35,809,real:OEWS_May2025_state; renormalized to national
11-2021,36,54602,real:OEWS_May2025_state; renormalized to national
11-2021,37,10910,real:OEWS_May2025_state; renormalized to national
11-2021,38,182,real:OEWS_May2025_state; renormalized to national
11-2021,39,10738,real:OEWS_May2025_state; renormalized to national
11-2021,40,1436,real:OEWS_May2025_state; renormalized to national
11-2021,41,5015,real:OEWS_May2025_state; renormalized to national
11-2021,42,13994,real:OEWS_May2025_state; renormalized to national
11-2021,45,3802,real:OEWS_May2025_state; renormalized to national
11-2021,46,222,real:OEWS_May2025_state; renormalized to national
11-2021,47,7816,real:OEWS_May2025_state; renormalized to national
11-2021,48,45178,real:OEWS_May2025_state; renormalized to national
11-2021,49,6168,real:OEWS_May2025_state; renormalized to national
11-2021,51,6967,real:OEWS_May2025_state; renormalized to national
11-2021,53,8979,real:OEWS_May2025_state; renormalized to national
11-2021,54,303,real:OEWS_May2025_state; renormalized to national
11-2021,55,4945,real:OEWS_May2025_state; renormalized to national
11-2021,56,101,real:OEWS_May2025_state; renormalized to national
11-2022,01,4775,real:OEWS_May2025_state; renormalized to national
11-2022,02,869,real:OEWS_May2025_state; renormalized to national
11-2022,04,14183,real:OEWS_May2025_state; renormalized to national
11-2022,05,3794,real:OEWS_May2025_state; renormalized to national
11-2022,06,114976,real:OEWS_May2025_state; renormalized to national
11-2022,08,8978,real:OEWS_May2025_state; renormalized to national
11-2022,09,8753,real:OEWS_May2025_state; renormalized to national
11-2022,11,1974,real:OEWS_May2025_state; renormalized to national
11-2022,12,47528,real:OEWS_May2025_state; renormalized to national
11-2022,13,18089,real:OEWS_May2025_state; renormalized to national
11-2022,15,1749,real:OEWS_May2025_state; renormalized to national
11-2022,16,2546,real:OEWS_May2025_state; renormalized to national
11-2022,17,32967,real:OEWS_May2025_state; renormalized to national
11-2022,18,9919,real:OEWS_May2025_state; renormalized to national
11-2022,19,3334,real:OEWS_May2025_state; renormalized to national
